Date,Name,Nationality,Cause of death
5/3/2018,Boyan Petrov,Bulgaria,Disappearance
9/30/2016,Pemba Sherpa (Taplejung 8),Nepal,Avalanche
4/24/2016,Patrik Matiolli,Switzerland,Fall in crevasse
4/24/2016,Jon Johnston,Australia,Fall in crevasse
9/24/2014,Sebastian Haag,Germany,Avalanche
9/24/2014,Andrea Zambaldi,Italy,Avalanche
5/11/2013,Unknown,Germany,HAPE
10/15/2009,Roby Piantoni,Italy,Fall
4/24/2007,Marek Hudák,Slovakia,Disappearance
10/31/2006,Bruno Carvalho,Portugal,Fall
10/3/2005,Stanislav Krylov,Russia,Disappearance
9/28/2005,Martin Oczko,Czech Republic,Altitude sickness
10/5/1999,Alex Lowe,United States,Avalanche
10/5/1999,David Bridges,United States,Avalanche
5/21/1998,Andreino Pasini,Italy,Illness
10/5/1996,Viktor Pastukh,Ukraine,Avalanche
10/5/1996,Gennadi Vasilenko,Ukraine,Avalanche
5/19/1996,Ming-Tse Kuo,Taiwan,Fall
5/1/1996,Stefan Sluka,Slovakia,Disappeared on descent
10/1/1994,Zdenek Slachta,Czech Republic,Avalanche
9/18/1994,Tod Gassen,United States,Fall in crevasse
9/29/1993,Bueoung-tae Park,South Korea,Fall
9/20/1991,Hidekazu Gomi,Japan,Avalanche
9/20/1991,Tetsuichi Miyashita,Japan,Avalanche
5/22/1991,Werner Braun,Germany,Disappearance (probably avalanche)
5/22/1991,Werner Meichsner,Germany,Disappearance (probably avalanche)
5/22/1991,Günther Semmler,Germany,Disappearance (probably avalanche)
5/22/1991,Karl-Heinz Thiele,Germany,Disappearance (probably avalanche)
10/15/1990,Joan Martinez,Spain,Exposure
10/4/1989,Luca Leonardi,Switzerland,Avalanche
4/28/1983,Fritz Luchsinger,Switzerland,Altitude sickness
